Date,Price,Quatity Sold
Dec 19 2019 01: +0,0.03,52473
Dec 20 2019 01: +0,0.03,52273
Dec 21 2019 01: +0,0.03,56221
Dec 22 2019 01: +0,0.03,47235
Dec 23 2019 01: +0,0.03,66771
Dec 24 2019 01: +0,0.03,53409
Dec 25 2019 01: +0,0.03,56878
Dec 26 2019 01: +0,0.03,69251
Dec 27 2019 01: +0,0.03,57695
Dec 28 2019 01: +0,0.03,62838
Dec 29 2019 01: +0,0.03,58365
Dec 30 2019 01: +0,0.03,53710
Dec 31 2019 01: +0,0.03,51914
Jan 01 2020 01: +0,0.03,52506
Jan 02 2020 01: +0,0.03,61623
Jan 03 2020 01: +0,0.03,58494
Jan 04 2020 01: +0,0.03,61323
Jan 05 2020 01: +0,0.03,68359
Jan 06 2020 01: +0,0.03,60141
Jan 07 2020 01: +0,0.03,56575
Jan 08 2020 01: +0,0.03,56582
Jan 09 2020 01: +0,0.03,62510
Jan 10 2020 01: +0,0.03,60505
Jan 11 2020 01: +0,0.03,71036
Jan 12 2020 01: +0,0.03,64842
Jan 13 2020 01: +0,0.03,59586
Jan 14 2020 01: +0,0.03,57240
Jan 15 2020 01: +0,0.03,62116
Jan 16 2020 01: +0,0.03,67106
Jan 17 2020 01: +0,0.03,77943
Jan 18 2020 01: +0,0.03,78921
Jan 19 2020 01: +0,0.03,84551
Jan 20 2020 01: +0,0.038,117569
Jan 21 2020 01: +0,0.04,95106
Jan 22 2020 01: +0,0.039,70700
Jan 23 2020 01: +0,0.035,77474
Jan 24 2020 01: +0,0.033,88665
Jan 25 2020 01: +0,0.034,99763
Jan 26 2020 01: +0,0.031,89552
Jan 27 2020 01: +0,0.031,78782
Jan 28 2020 01: +0,0.037,89852
Jan 29 2020 01: +0,0.04,81168
Jan 30 2020 01: +0,0.04,67427
Jan 31 2020 01: +0,0.042,77111
Feb 01 2020 01: +0,0.041,82443
Feb 02 2020 01: +0,0.039,92995
Feb 03 2020 01: +0,0.04,77947
Feb 04 2020 01: +0,0.041,76737
Feb 05 2020 01: +0,0.04,80136
Feb 06 2020 01: +0,0.042,92726
Feb 07 2020 01: +0,0.049,117396
Feb 08 2020 01: +0,0.048,104123
Feb 09 2020 01: +0,0.044,104449
Feb 10 2020 01: +0,0.039,72329
Feb 11 2020 01: +0,0.036,66218
Feb 12 2020 01: +0,0.036,73866
Feb 13 2020 01: +0,0.036,73867
Feb 14 2020 01: +0,0.042,90683
Feb 15 2020 01: +0,0.041,97611
Feb 16 2020 01: +0,0.04,92612
Feb 17 2020 01: +0,0.04,68231
Feb 18 2020 01: +0,0.039,73025
Feb 19 2020 01: +0,0.038,74140
Feb 20 2020 01: +0,0.038,76942
Feb 21 2020 01: +0,0.041,94313
Feb 22 2020 01: +0,0.043,112108
Feb 23 2020 01: +0,0.058,185358
Feb 24 2020 01: +0,0.06,147232
Feb 25 2020 01: +0,0.065,130932
Feb 26 2020 01: +0,0.064,110440
Feb 27 2020 01: +0,0.068,115830
Feb 28 2020 01: +0,0.06,105689
Feb 29 2020 01: +0,0.058,128417
Mar 01 2020 01: +0,0.058,122093
Mar 02 2020 01: +0,0.055,96262
Mar 03 2020 01: +0,0.053,90256
Mar 04 2020 01: +0,0.05,97442
Mar 05 2020 01: +0,0.049,85927
Mar 06 2020 01: +0,0.048,93915
Mar 07 2020 01: +0,0.046,102614
Mar 08 2020 01: +0,0.045,96635
Mar 09 2020 01: +0,0.045,84233
Mar 10 2020 01: +0,0.043,76801
Mar 11 2020 01: +0,0.043,82938
Mar 12 2020 01: +0,0.041,81584
Mar 13 2020 01: +0,0.039,98923
Mar 14 2020 01: +0,0.04,95495
Mar 15 2020 01: +0,0.04,95156
Mar 16 2020 01: +0,0.038,81654
Mar 17 2020 01: +0,0.036,82856
Mar 18 2020 01: +0,0.033,83151
Mar 19 2020 01: +0,0.03,82469
Mar 20 2020 01: +0,0.03,85599
Mar 21 2020 01: +0,0.03,78479
Mar 22 2020 01: +0,0.03,84644
Mar 23 2020 01: +0,0.03,81625
Mar 24 2020 01: +0,0.03,75551
Mar 25 2020 01: +0,0.03,80577
Mar 26 2020 01: +0,0.03,77413
Mar 27 2020 01: +0,0.03,77463
Mar 28 2020 01: +0,0.03,82607
Mar 29 2020 01: +0,0.03,70609
Mar 30 2020 01: +0,0.03,90877
Mar 31 2020 01: +0,0.03,100404
Apr 01 2020 01: +0,0.03,118862
Apr 02 2020 01: +0,0.03,115821
Apr 03 2020 01: +0,0.03,103776
Apr 04 2020 01: +0,0.03,104569
Apr 05 2020 01: +0,0.03,96209
Apr 06 2020 01: +0,0.03,113695
Apr 07 2020 01: +0,0.03,103411
Apr 08 2020 01: +0,0.03,114994
Apr 09 2020 01: +0,0.03,101979
Apr 10 2020 01: +0,0.03,95686
Apr 11 2020 01: +0,0.03,111160
Apr 12 2020 01: +0,0.03,96099
Apr 13 2020 01: +0,0.03,103752
Apr 14 2020 01: +0,0.03,115124
Apr 15 2020 01: +0,0.03,108439
Apr 16 2020 01: +0,0.03,120428
Apr 17 2020 01: +0,0.03,116075
Apr 18 2020 01: +0,0.03,102242
Apr 19 2020 01: +0,0.03,105986
Apr 20 2020 01: +0,0.03,106734
Apr 21 2020 01: +0,0.03,104135
Apr 22 2020 01: +0,0.03,114130
Apr 23 2020 01: +0,0.03,105216
Apr 24 2020 01: +0,0.03,104977
Apr 25 2020 01: +0,0.03,100498
Apr 26 2020 01: +0,0.03,107462
Apr 27 2020 01: +0,0.03,101519
Apr 28 2020 01: +0,0.03,98592
Apr 29 2020 01: +0,0.03,100609
Apr 30 2020 01: +0,0.03,102984
May 01 2020 01: +0,0.03,101971
May 02 2020 01: +0,0.03,109193
May 03 2020 01: +0,0.03,110196
May 04 2020 01: +0,0.03,99330
May 05 2020 01: +0,0.03,99831
May 06 2020 01: +0,0.03,101834
May 07 2020 01: +0,0.03,109009
May 08 2020 01: +0,0.03,124900
May 09 2020 01: +0,0.03,106851
May 10 2020 01: +0,0.03,105407
May 11 2020 01: +0,0.03,105818
May 12 2020 01: +0,0.03,104061
May 13 2020 01: +0,0.03,101162
May 14 2020 01: +0,0.031,118233
May 15 2020 01: +0,0.031,112854
May 16 2020 01: +0,0.034,103919
May 17 2020 01: +0,0.036,103671
May 18 2020 01: +0,0.037,105731
May 19 2020 01: +0,0.039,111032
May 20 2020 01: +0,0.042,148311
May 21 2020 01: +0,0.043,117940
May 22 2020 01: +0,0.046,130090
May 23 2020 01: +0,0.053,148118
May 24 2020 01: +0,0.051,122132
May 25 2020 01: +0,0.046,112120
May 26 2020 01: +0,0.039,104406
May 27 2020 01: +0,0.039,100274
May 28 2020 01: +0,0.04,101826
May 29 2020 01: +0,0.043,104954
May 30 2020 01: +0,0.043,95916
May 31 2020 01: +0,0.044,101336
Jun 01 2020 01: +0,0.046,106305
Jun 02 2020 01: +0,0.049,103163
Jun 03 2020 01: +0,0.049,110591
Jun 04 2020 01: +0,0.052,116606
Jun 05 2020 01: +0,0.055,148136
Jun 06 2020 01: +0,0.068,289366
Jun 07 2020 01: +0,0.08,193116
Jun 08 2020 01: +0,0.068,124833
Jun 09 2020 01: +0,0.068,111528
Jun 10 2020 01: +0,0.07,105747
Jun 11 2020 01: +0,0.069,100461
Jun 12 2020 01: +0,0.073,104989
Jun 13 2020 01: +0,0.075,103313
Jun 14 2020 01: +0,0.073,101701
Jun 15 2020 01: +0,0.076,118665
Jun 16 2020 01: +0,0.08,116078
Jun 17 2020 01: +0,0.079,111938
Jun 18 2020 01: +0,0.078,106757
Jun 19 2020 01: +0,0.077,107574
Jun 20 2020 01: +0,0.078,108474
Jun 21 2020 01: +0,0.079,106183
Jun 22 2020 01: +0,0.078,102302
Jun 23 2020 01: +0,0.078,100459
Jun 24 2020 01: +0,0.08,103530
Jun 25 2020 01: +0,0.079,121273
Jun 26 2020 01: +0,0.085,197006
Jun 27 2020 01: +0,0.109,257143
Jun 28 2020 01: +0,0.112,125064
Jun 29 2020 01: +0,0.107,134786
Jun 30 2020 01: +0,0.11,133559
Jul 01 2020 01: +0,0.119,138168
Jul 02 2020 01: +0,0.143,234543
Jul 03 2020 01: +0,0.168,216326
Jul 04 2020 01: +0,0.181,209468
Jul 05 2020 01: +0,0.154,158944
Jul 06 2020 01: +0,0.134,131636
Jul 07 2020 01: +0,0.135,123148
Jul 08 2020 01: +0,0.129,125708
Jul 09 2020 01: +0,0.132,120416
Jul 10 2020 01: +0,0.136,116347
Jul 11 2020 01: +0,0.138,120222
Jul 12 2020 01: +0,0.136,116014
Jul 13 2020 01: +0,0.132,107070
Jul 14 2020 01: +0,0.126,110763
Jul 15 2020 01: +0,0.119,118244
Jul 16 2020 01: +0,0.123,126754
Jul 17 2020 01: +0,0.135,142747
Jul 18 2020 01: +0,0.139,133137
Jul 19 2020 01: +0,0.142,149305
Jul 20 2020 01: +0,0.15,162177
Jul 21 2020 01: +0,0.164,140755
Jul 22 2020 01: +0,0.169,111601
Jul 23 2020 01: +0,0.17,106018
Jul 24 2020 01: +0,0.175,114082
Jul 25 2020 01: +0,0.173,118247
Jul 26 2020 01: +0,0.165,114503
Jul 27 2020 01: +0,0.155,115653
Jul 28 2020 01: +0,0.148,107796
Jul 29 2020 01: +0,0.143,105317
Jul 30 2020 01: +0,0.144,104318
Jul 31 2020 01: +0,0.143,103991
Aug 01 2020 01: +0,0.148,116891
Aug 02 2020 01: +0,0.144,114661
Aug 03 2020 01: +0,0.141,109372
Aug 04 2020 01: +0,0.144,111003
Aug 05 2020 01: +0,0.141,119537
Aug 06 2020 01: +0,0.144,102793
Aug 07 2020 01: +0,0.142,145848
Aug 08 2020 01: +0,0.138,116136
Aug 09 2020 01: +0,0.136,112450
Aug 10 2020 01: +0,0.132,105852
Aug 11 2020 01: +0,0.129,107153
Aug 12 2020 01: +0,0.125,100383
Aug 13 2020 01: +0,0.123,94968
Aug 14 2020 01: +0,0.12,100878
Aug 15 2020 01: +0,0.116,94438
Aug 16 2020 01: +0,0.111,95064
Aug 17 2020 01: +0,0.104,94880
Aug 18 2020 01: +0,0.102,106650
Aug 19 2020 01: +0,0.102,97473
Aug 20 2020 01: +0,0.1,91391
Aug 21 2020 01: +0,0.105,92188
Aug 22 2020 01: +0,0.104,90409
Aug 23 2020 01: +0,0.104,96694
Aug 24 2020 01: +0,0.105,97370
Aug 25 2020 01: +0,0.106,101164
Aug 26 2020 01: +0,0.105,87144
Aug 27 2020 01: +0,0.105,88983
Aug 28 2020 01: +0,0.107,93561
Aug 29 2020 01: +0,0.109,95411
Aug 30 2020 01: +0,0.109,88677
Aug 31 2020 01: +0,0.109,88694
Sep 01 2020 01: +0,0.113,89637
Sep 02 2020 01: +0,0.114,88875
Sep 03 2020 01: +0,0.116,83592
Sep 04 2020 01: +0,0.119,88662
Sep 05 2020 01: +0,0.118,93612
Sep 06 2020 01: +0,0.121,96785
Sep 07 2020 01: +0,0.122,87109
Sep 08 2020 01: +0,0.121,80425
Sep 09 2020 01: +0,0.118,84885
Sep 10 2020 01: +0,0.12,89530
Sep 11 2020 01: +0,0.121,89439
Sep 12 2020 01: +0,0.12,96647
Sep 13 2020 01: +0,0.119,94929
Sep 14 2020 01: +0,0.12,94639
Sep 15 2020 01: +0,0.121,86567
Sep 16 2020 01: +0,0.124,96437
Sep 17 2020 01: +0,0.122,85930
Sep 18 2020 01: +0,0.123,98512
Sep 19 2020 01: +0,0.123,98490
Sep 20 2020 01: +0,0.122,94482
Sep 21 2020 01: +0,0.123,92713
Sep 22 2020 01: +0,0.123,85011
Sep 23 2020 01: +0,0.123,82966
Sep 24 2020 01: +0,0.122,81466
Sep 25 2020 01: +0,0.122,92872
Sep 26 2020 01: +0,0.123,94716
Sep 27 2020 01: +0,0.119,97128
Sep 28 2020 01: +0,0.12,85486
Sep 29 2020 01: +0,0.12,85425
Sep 30 2020 01: +0,0.122,95148
Oct 01 2020 01: +0,0.124,100343
Oct 02 2020 01: +0,0.125,95096
Oct 03 2020 01: +0,0.122,91368
Oct 04 2020 01: +0,0.122,97701
Oct 05 2020 01: +0,0.123,86218
Oct 06 2020 01: +0,0.123,87979
Oct 07 2020 01: +0,0.12,82517
Oct 08 2020 01: +0,0.12,79974
Oct 09 2020 01: +0,0.122,87164
Oct 10 2020 01: +0,0.123,84035
Oct 11 2020 01: +0,0.12,86991
Oct 12 2020 01: +0,0.12,79728
Oct 13 2020 01: +0,0.115,77142
Oct 14 2020 01: +0,0.111,75944
Oct 15 2020 01: +0,0.11,75957
Oct 16 2020 01: +0,0.107,77467
Oct 17 2020 01: +0,0.106,79008
Oct 18 2020 01: +0,0.105,77901
Oct 19 2020 01: +0,0.105,75101
Oct 20 2020 01: +0,0.106,73530
Oct 21 2020 01: +0,0.108,80228
Oct 22 2020 01: +0,0.11,87385
Oct 23 2020 01: +0,0.112,88871
Oct 24 2020 01: +0,0.112,88036
Oct 25 2020 01: +0,0.111,87330
Oct 26 2020 01: +0,0.108,76494
Oct 27 2020 01: +0,0.106,84252
Oct 28 2020 01: +0,0.11,88953
Oct 29 2020 01: +0,0.107,88703
Oct 30 2020 01: +0,0.104,87679
Oct 31 2020 01: +0,0.104,92327
Nov 01 2020 01: +0,0.105,100590
Nov 02 2020 01: +0,0.106,76308
Nov 03 2020 01: +0,0.104,86753
Nov 04 2020 01: +0,0.105,94210
Nov 05 2020 01: +0,0.105,89962
Nov 06 2020 01: +0,0.105,85992
Nov 07 2020 01: +0,0.106,95712
Nov 08 2020 01: +0,0.102,93055
Nov 09 2020 01: +0,0.102,95960
Nov 10 2020 01: +0,0.102,87587
Nov 11 2020 01: +0,0.101,93147
Nov 12 2020 01: +0,0.103,87957
Nov 13 2020 01: +0,0.102,84194
Nov 14 2020 01: +0,0.103,92549
Nov 15 2020 01: +0,0.102,90403
Nov 16 2020 01: +0,0.102,86294
Nov 17 2020 01: +0,0.099,89755
Nov 18 2020 01: +0,0.098,86254
Nov 19 2020 01: +0,0.095,89226
Nov 20 2020 01: +0,0.093,89081
Nov 21 2020 01: +0,0.094,94491
Nov 22 2020 01: +0,0.093,89331
Nov 23 2020 01: +0,0.092,82093
Nov 24 2020 01: +0,0.091,86702
Nov 25 2020 01: +0,0.09,95956
Nov 26 2020 01: +0,0.086,113457
Nov 27 2020 01: +0,0.081,110454
Nov 28 2020 01: +0,0.079,107061
Nov 29 2020 01: +0,0.079,104025
Nov 30 2020 01: +0,0.078,97434
Dec 01 2020 01: +0,0.08,93471
Dec 02 2020 01: +0,0.085,86377
Dec 03 2020 01: +0,0.085,107203
Dec 04 2020 01: +0,0.067,125413
Dec 05 2020 01: +0,0.069,101705
Dec 06 2020 01: +0,0.072,95447
Dec 07 2020 01: +0,0.072,96662
Dec 08 2020 01: +0,0.075,86877
Dec 09 2020 01: +0,0.071,86621
Dec 10 2020 01: +0,0.071,86859
Dec 11 2020 01: +0,0.069,89444
Dec 12 2020 01: +0,0.067,91011
Dec 13 2020 01: +0,0.071,96483
Dec 14 2020 01: +0,0.07,84837
Dec 15 2020 01: +0,0.072,94643
Dec 16 2020 01: +0,0.076,113281
Dec 17 2020 01: +0,0.079,86086
Dec 18 2020 01: +0,0.079,86886
Dec 19 2020 01: +0,0.082,93233
Dec 20 2020 01: +0,0.086,97406
Dec 21 2020 01: +0,0.089,100013
Dec 22 2020 01: +0,0.084,102811
Dec 23 2020 01: +0,0.085,110433
Dec 24 2020 01: +0,0.091,116710
Dec 25 2020 01: +0,0.099,115942
Dec 26 2020 01: +0,0.106,136274
Dec 27 2020 01: +0,0.109,102410
Dec 28 2020 01: +0,0.115,133066
Dec 29 2020 01: +0,0.119,123326
Dec 30 2020 01: +0,0.123,121881
Dec 31 2020 01: +0,0.128,126709
Jan 01 2021 01: +0,0.135,132500
Jan 02 2021 01: +0,0.136,121013
Jan 03 2021 01: +0,0.132,121353
Jan 04 2021 01: +0,0.13,123212
Jan 05 2021 01: +0,0.112,121717
Jan 06 2021 01: +0,0.115,100229
Jan 07 2021 01: +0,0.119,101899
Jan 08 2021 01: +0,0.126,102067
Jan 09 2021 01: +0,0.133,118220
Jan 10 2021 01: +0,0.139,105543
Jan 11 2021 01: +0,0.137,94694
Jan 12 2021 01: +0,0.134,107633
Jan 13 2021 01: +0,0.134,106824
Jan 14 2021 01: +0,0.135,115471
Jan 15 2021 01: +0,0.137,117794
Jan 16 2021 01: +0,0.14,126910
Jan 17 2021 01: +0,0.143,117375
Jan 18 2021 01: +0,0.149,125584
Jan 19 2021 01: +0,0.157,183987
Jan 20 2021 01: +0,0.164,161537
Jan 21 2021 01: +0,0.171,129628
Jan 22 2021 01: +0,0.176,133519
Jan 23 2021 01: +0,0.173,116616
Jan 24 2021 01: +0,0.172,116958
Jan 25 2021 01: +0,0.177,133543
Jan 26 2021 01: +0,0.181,116956
Jan 27 2021 01: +0,0.177,111753
Jan 28 2021 01: +0,0.147,196394
Jan 29 2021 01: +0,0.15,133804
Jan 30 2021 01: +0,0.149,135045
Jan 31 2021 01: +0,0.153,135752
Feb 01 2021 01: +0,0.152,109818
Feb 02 2021 01: +0,0.149,106626
Feb 03 2021 01: +0,0.149,111166
Feb 04 2021 01: +0,0.15,107260
Feb 05 2021 01: +0,0.151,103278
Feb 06 2021 01: +0,0.148,103150
Feb 07 2021 01: +0,0.145,100735
Feb 08 2021 01: +0,0.14,100446
Feb 09 2021 01: +0,0.139,107417
Feb 10 2021 01: +0,0.139,118804
Feb 11 2021 01: +0,0.144,134136
Feb 12 2021 01: +0,0.137,118819
Feb 13 2021 01: +0,0.129,130069
Feb 14 2021 01: +0,0.124,109485
Feb 15 2021 01: +0,0.119,102639
Feb 16 2021 01: +0,0.12,100186
Feb 17 2021 01: +0,0.117,96719
Feb 18 2021 01: +0,0.117,94995
Feb 19 2021 01: +0,0.12,100382
Feb 20 2021 01: +0,0.121,111545
Feb 21 2021 01: +0,0.12,105436
Feb 22 2021 01: +0,0.126,120137
Feb 23 2021 01: +0,0.143,154777
Feb 24 2021 01: +0,0.158,164287
Feb 25 2021 01: +0,0.174,172672
Feb 26 2021 01: +0,0.18,168316
Feb 27 2021 01: +0,0.181,165228
Feb 28 2021 01: +0,0.181,172190
Mar 01 2021 01: +0,0.188,188382
Mar 02 2021 01: +0,0.204,202521
Mar 03 2021 01: +0,0.237,207753
Mar 04 2021 01: +0,0.246,155583
Mar 05 2021 01: +0,0.246,178424
Mar 06 2021 01: +0,0.247,181759
Mar 07 2021 01: +0,0.25,178385
Mar 08 2021 01: +0,0.259,180494
Mar 09 2021 01: +0,0.265,193699
Mar 10 2021 01: +0,0.284,208527
Mar 11 2021 01: +0,0.331,191801
Mar 12 2021 01: +0,0.348,177221
Mar 13 2021 01: +0,0.344,175782
Mar 14 2021 01: +0,0.326,146344
Mar 15 2021 01: +0,0.3,144310
Mar 16 2021 01: +0,0.259,145823
Mar 17 2021 01: +0,0.24,146459
Mar 18 2021 01: +0,0.241,142319
Mar 19 2021 01: +0,0.236,155020
Mar 20 2021 01: +0,0.238,155722
Mar 21 2021 01: +0,0.244,152477
Mar 22 2021 01: +0,0.245,135292
Mar 23 2021 01: +0,0.254,143306
Mar 24 2021 01: +0,0.259,133440
Mar 25 2021 01: +0,0.268,134229
Mar 26 2021 01: +0,0.28,143127
Mar 27 2021 01: +0,0.285,138950
Mar 28 2021 01: +0,0.288,143360
Mar 29 2021 01: +0,0.292,127007
Mar 30 2021 01: +0,0.294,120600
Mar 31 2021 01: +0,0.297,135525
Apr 01 2021 01: +0,0.309,138277
Apr 02 2021 01: +0,0.321,144005
Apr 03 2021 01: +0,0.328,143982
Apr 04 2021 01: +0,0.33,131694
Apr 05 2021 01: +0,0.328,133188
Apr 06 2021 01: +0,0.323,124660
Apr 07 2021 01: +0,0.288,134710
Apr 08 2021 01: +0,0.253,151066
Apr 09 2021 01: +0,0.262,187294
Apr 10 2021 01: +0,0.262,176401
Apr 11 2021 01: +0,0.251,129272
Apr 12 2021 01: +0,0.252,129369
Apr 13 2021 01: +0,0.247,126123
Apr 14 2021 01: +0,0.258,35713
Apr 15 2021 01: +0,0.257,144670
Apr 16 2021 01: +0,0.25,133296
Apr 17 2021 01: +0,0.253,136615
Apr 18 2021 01: +0,0.249,117112
Apr 19 2021 01: +0,0.254,116591
Apr 20 2021 01: +0,0.253,113228
Apr 21 2021 01: +0,0.252,112966
Apr 22 2021 01: +0,0.253,117555
Apr 23 2021 01: +0,0.253,111024
Apr 24 2021 01: +0,0.256,114307
Apr 25 2021 01: +0,0.257,117277
Apr 26 2021 01: +0,0.258,109268
Apr 27 2021 01: +0,0.261,112253
Apr 28 2021 01: +0,0.264,105028
Apr 29 2021 01: +0,0.262,103460
Apr 30 2021 01: +0,0.264,112539
May 01 2021 01: +0,0.266,109973
May 02 2021 01: +0,0.272,116477
May 03 2021 01: +0,0.265,109182
May 04 2021 01: +0,0.257,148474
May 05 2021 01: +0,0.256,136522
May 06 2021 01: +0,0.254,128912
May 07 2021 01: +0,0.255,129720
May 08 2021 01: +0,0.255,126990
May 09 2021 01: +0,0.264,120321
May 10 2021 01: +0,0.255,108922
May 11 2021 01: +0,0.253,106041
May 12 2021 01: +0,0.247,107272
May 13 2021 01: +0,0.247,114580
May 14 2021 01: +0,0.249,110917
May 15 2021 01: +0,0.242,116736
May 16 2021 01: +0,0.236,109203
May 17 2021 01: +0,0.236,97087
May 18 2021 01: +0,0.236,99497
May 19 2021 01: +0,0.237,102326
May 20 2021 01: +0,0.237,109610
May 21 2021 01: +0,0.231,105818
May 22 2021 01: +0,0.233,106705
May 23 2021 01: +0,0.224,105674
May 24 2021 01: +0,0.221,102224
May 25 2021 01: +0,0.223,104910
May 26 2021 01: +0,0.224,97212
May 27 2021 01: +0,0.224,104937
May 28 2021 01: +0,0.228,114009
May 29 2021 01: +0,0.234,130647
May 30 2021 01: +0,0.247,129212
May 31 2021 01: +0,0.251,117479
Jun 01 2021 01: +0,0.262,122535
Jun 02 2021 01: +0,0.286,147085
Jun 03 2021 01: +0,0.296,123457
Jun 04 2021 01: +0,0.359,386712
Jun 05 2021 01: +0,0.432,217036
Jun 06 2021 01: +0,0.332,146963
Jun 07 2021 01: +0,0.337,111402
Jun 08 2021 01: +0,0.343,107162
Jun 09 2021 01: +0,0.358,116401
Jun 10 2021 01: +0,0.392,106587
Jun 11 2021 01: +0,0.423,114614
Jun 12 2021 01: +0,0.419,107453
Jun 13 2021 01: +0,0.384,105188
Jun 14 2021 01: +0,0.353,100201
Jun 15 2021 01: +0,0.349,101953
Jun 16 2021 01: +0,0.358,98442
Jun 17 2021 01: +0,0.341,94902
Jun 18 2021 01: +0,0.34,97370
Jun 19 2021 01: +0,0.35,101916
Jun 20 2021 01: +0,0.343,97292
Jun 21 2021 01: +0,0.333,101095
Jun 22 2021 01: +0,0.335,99514
Jun 23 2021 01: +0,0.316,91572
Jun 24 2021 01: +0,0.297,113518
Jun 25 2021 01: +0,0.299,127327
Jun 26 2021 01: +0,0.298,109736
Jun 27 2021 01: +0,0.298,98395
Jun 28 2021 01: +0,0.298,105659
Jun 29 2021 01: +0,0.296,99093
Jun 30 2021 01: +0,0.287,94533
Jul 01 2021 01: +0,0.283,90311
Jul 02 2021 01: +0,0.274,89669
Jul 03 2021 01: +0,0.273,97473
Jul 04 2021 01: +0,0.268,86274
Jul 05 2021 01: +0,0.254,90021
Jul 06 2021 01: +0,0.254,87436
Jul 07 2021 01: +0,0.251,96468
Jul 08 2021 01: +0,0.243,83705
Jul 09 2021 01: +0,0.252,80403
Jul 10 2021 01: +0,0.257,73894
Jul 11 2021 01: +0,0.242,71417
Jul 12 2021 01: +0,0.24,84311
Jul 13 2021 01: +0,0.244,74635
Jul 14 2021 01: +0,0.244,78855
Jul 15 2021 01: +0,0.246,76348
Jul 16 2021 01: +0,0.248,73687
Jul 17 2021 01: +0,0.25,77634
Jul 18 2021 01: +0,0.26,80224
Jul 19 2021 01: +0,0.256,82718
Jul 20 2021 01: +0,0.259,74369
Jul 21 2021 01: +0,0.254,80006
Jul 22 2021 01: +0,0.265,83117
Jul 23 2021 01: +0,0.269,81241
Jul 24 2021 01: +0,0.262,79621
Jul 25 2021 01: +0,0.266,79643
Jul 26 2021 01: +0,0.262,72650
Jul 27 2021 01: +0,0.265,39289
Jul 28 2021 01: +0,0.258,73780
Jul 29 2021 01: +0,0.244,79636
Jul 30 2021 01: +0,0.244,77352
Jul 31 2021 01: +0,0.238,80232
Aug 01 2021 01: +0,0.235,71284
Aug 02 2021 01: +0,0.235,75667
Aug 03 2021 01: +0,0.232,73652
Aug 04 2021 01: +0,0.232,66052
Aug 05 2021 01: +0,0.237,56609
Aug 06 2021 01: +0,0.227,78684
Aug 07 2021 01: +0,0.22,76605
Aug 08 2021 01: +0,0.218,79680
Aug 09 2021 01: +0,0.214,75986
Aug 10 2021 01: +0,0.207,79405
Aug 11 2021 01: +0,0.205,73692
Aug 12 2021 01: +0,0.201,66420
Aug 13 2021 01: +0,0.198,75115
Aug 14 2021 01: +0,0.202,59787
Aug 14 2021 20: +0,0.191,2868
Aug 14 2021 21: +0,0.197,3836
Aug 14 2021 22: +0,0.191,3063
Aug 14 2021 23: +0,0.192,2486
Aug 15 2021 00: +0,0.19,1819
Aug 15 2021 01: +0,0.188,1496
Aug 15 2021 02: +0,0.19,1814
Aug 15 2021 03: +0,0.19,1604
Aug 15 2021 04: +0,0.188,1525
Aug 15 2021 05: +0,0.19,1853
Aug 15 2021 06: +0,0.193,2015
Aug 15 2021 07: +0,0.196,2109
Aug 15 2021 08: +0,0.19,2188
Aug 15 2021 09: +0,0.2,3185
Aug 15 2021 10: +0,0.188,2651
Aug 15 2021 11: +0,0.188,3210
Aug 15 2021 12: +0,0.187,2392
Aug 15 2021 13: +0,0.187,2591
Aug 15 2021 14: +0,0.187,3339
Aug 15 2021 15: +0,0.187,3722
Aug 15 2021 16: +0,0.188,3850
Aug 15 2021 17: +0,0.188,3392
Aug 15 2021 18: +0,0.185,3738
Aug 15 2021 19: +0,0.184,4141
Aug 15 2021 20: +0,0.184,4144
Aug 15 2021 21: +0,0.184,4112
Aug 15 2021 22: +0,0.183,3781
Aug 15 2021 23: +0,0.188,3086
Aug 16 2021 00: +0,0.188,2599
Aug 16 2021 01: +0,0.188,1911
Aug 16 2021 02: +0,0.185,1551
Aug 16 2021 03: +0,0.188,1862
Aug 16 2021 04: +0,0.188,1788
Aug 16 2021 05: +0,0.185,1262
Aug 16 2021 06: +0,0.19,2113
Aug 16 2021 07: +0,0.188,2025
Aug 16 2021 08: +0,0.19,2338
Aug 16 2021 09: +0,0.19,3304
Aug 16 2021 10: +0,0.185,2605
Aug 16 2021 11: +0,0.188,2995
Aug 16 2021 12: +0,0.188,3969
Aug 16 2021 13: +0,0.187,3694
Aug 16 2021 14: +0,0.187,4107
Aug 16 2021 15: +0,0.184,3739
Aug 16 2021 16: +0,0.188,3555
Aug 16 2021 17: +0,0.188,3980
Aug 16 2021 18: +0,0.18,3284
Aug 16 2021 19: +0,0.18,3453
Aug 16 2021 20: +0,0.176,3061
Aug 16 2021 21: +0,0.177,3132
Aug 16 2021 22: +0,0.177,2474
Aug 16 2021 23: +0,0.177,1774
Aug 17 2021 00: +0,0.175,1458
Aug 17 2021 01: +0,0.175,1730
Aug 17 2021 02: +0,0.17,1529
Aug 17 2021 03: +0,0.17,1277
Aug 17 2021 04: +0,0.17,1433
Aug 17 2021 05: +0,0.173,1835
Aug 17 2021 06: +0,0.177,1847
Aug 17 2021 07: +0,0.18,1999
Aug 17 2021 08: +0,0.18,2334
Aug 17 2021 09: +0,0.177,2382
Aug 17 2021 10: +0,0.18,4298
Aug 17 2021 11: +0,0.177,3076
Aug 17 2021 12: +0,0.173,2931
Aug 17 2021 13: +0,0.174,4304
